ensemble,model,member,grid,ssp,method
LOCA2,MPI-ESM1-2-LR,r8i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r8i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r10i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r10i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r10i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r7i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r7i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r7i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r6i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r6i1p1f1,0,historical,LOCA2
LOCA2,NorESM2-LM,r2i1p1f1,0,ssp245,LOCA2
LOCA2,NorESM2-LM,r2i1p1f1,0,historical,LOCA2
LOCA2,NorESM2-LM,r1i1p1f1,0,ssp245,LOCA2
LOCA2,NorESM2-LM,r1i1p1f1,0,historical,LOCA2
LOCA2,NorESM2-LM,r1i1p1f1,0,ssp585,LOCA2
LOCA2,NorESM2-LM,r1i1p1f1,0,ssp370,LOCA2
LOCA2,NorESM2-LM,r3i1p1f1,0,ssp245,LOCA2
LOCA2,NorESM2-LM,r3i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r2i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r2i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r2i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r2i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r5i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r5i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r5i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r5i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r1i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r1i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r1i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r1i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r4i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r4i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r4i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r4i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r3i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r3i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r3i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r3i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r7i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r7i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r7i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r7i1p1f1,0,ssp370,LOCA2
LOCA2,CanESM5,r6i1p1f1,0,ssp245,LOCA2
LOCA2,CanESM5,r6i1p1f1,0,historical,LOCA2
LOCA2,CanESM5,r6i1p1f1,0,ssp585,LOCA2
LOCA2,CanESM5,r6i1p1f1,0,ssp370,LOCA2
LOCA2,CNRM-CM6-1-HR,r1i1p1f2,0,historical,LOCA2
LOCA2,CNRM-CM6-1-HR,r1i1p1f2,0,ssp585,LOCA2
LOCA2,GFDL-ESM4,r1i1p1f1,0,ssp245,LOCA2
LOCA2,GFDL-ESM4,r1i1p1f1,0,historical,LOCA2
LOCA2,GFDL-ESM4,r1i1p1f1,0,ssp585,LOCA2
LOCA2,GFDL-ESM4,r1i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r2i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r2i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r5i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r5i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r1i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r1i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r4i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r4i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r3i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r3i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r9i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r9i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r8i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r8i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r10i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r10i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r7i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r7i1p1f1,0,ssp370,LOCA2
LOCA2,CESM2-LENS,r6i1p1f1,0,historical,LOCA2
LOCA2,CESM2-LENS,r6i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-ESM1-5,r2i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-ESM1-5,r2i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-ESM1-5,r2i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-ESM1-5,r2i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-ESM1-5,r5i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-ESM1-5,r5i1p1f1,0,historical,LOCA2
